sample_id,task,selector,reference_variant,candidate_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,frame_indices,pool_reconstruction_error,selected_reconstruction_error
object_existence_0141,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any stationary cubes when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02506033331155777,0.0250205397605896
object_existence_0147,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary yellow objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027028439566493034,0.02662992663681507
object_existence_0152,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any metal cubes that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028348127380013466,0.028190093114972115
object_existence_0153,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any stationary gray objects?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02842675894498825,0.028349602594971657
object_existence_0155,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary gray objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026618938893079758,0.02609376609325409
object_existence_0157,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any yellow spheres that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02714350074529648,0.026339152827858925
object_existence_0159,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any cylinders that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029630500823259354,0.030059462413191795
object_existence_0177,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving blue objects when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025005478411912918,0.025219328701496124
object_existence_0186,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving cyan objects?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026896795257925987,0.026405662298202515
object_existence_0198,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any rubber cubes that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027150947600603104,0.027178961783647537
scene_transition_0001,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the creek to the stairs.,From the creek to the stairs.,From the creek to the stairs.,What's the right option for how the scenes in the video change?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07897268980741501,0.08525052666664124
scene_transition_0011,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the front of the house to inside the living room.,From the front of the house to inside the living room.,From the front of the house to inside the living room.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07456398010253906,0.07464421540498734
scene_transition_0024,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From room to spaceship.,From room to spaceship.,From room to spaceship.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.0610826350748539,0.059989217668771744
scene_transition_0025,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the car to the Nash's house.,From the car to the Nash's house.,From the car to the Nash's house.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07071691751480103,0.06508738547563553
scene_transition_0038,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From home to outside.,From home to outside.,From home to outside.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07004314661026001,0.06663814187049866
scene_transition_0042,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the entrance to the elevator to the entrance of the park.,From the entrance to the elevator to the entrance of the park.,From the entrance to the elevator to the entrance of the park.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07173595577478409,0.06954742223024368
scene_transition_0047,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the office to the park.,From the office to the park.,From the street to the carriage.,Pick the choice that correctly describes how the scenes in the video change.,"[459, 478, 496, 515, 534, 553, 571, 590]",0.0969899445772171,0.09722191095352173
scene_transition_0048,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the classroom to Evan's dorm room.,From the classroom to Evan's dorm room.,From the classroom to Evan's dorm room.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07013507932424545,0.07344385981559753
scene_transition_0055,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From a stone house to a cave.,From a stone house to a cave.,From a stone house to a cave.,What's the right option for how the scenes in the video change?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.05790495499968529,0.05773511528968811
scene_transition_0065,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From city to mountain.,From city to mountain.,From room to ocean.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06786683201789856,0.07086887210607529
scene_transition_0074,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the pillow pile to the room.,From the pillow pile to the room.,From the pillow pile to the room.,What's the right option for how the scenes in the video change?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.08236972987651825,0.08470253646373749
scene_transition_0079,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the city to the countryside.,From the city to the countryside.,From the aisle to the ruins.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.08649866282939911,0.09116914868354797
scene_transition_0084,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the office to the cafe.,From the office to the cafe.,From the beach to the restroom.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.08763355761766434,0.09187833964824677
scene_transition_0087,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the window to the breakfast table in the morning.,From the window to the breakfast table in the morning.,From the window to the breakfast table in the morning.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.054267629981040955,0.05441940575838089
scene_transition_0096,scene_transition,exact_recent,full,pca_r256_s4,worse,1,1,0,From shoes to the building.1.,From the park to the museum.,From shoes to the building.1.,Pick the choice that correctly describes how the scenes in the video change.,"[459, 478, 496, 515, 534, 553, 571, 590]",0.05966109037399292,0.0653771162033081
scene_transition_0098,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From Sarah's house to a library.,From Sarah's house to a library.,From Shawn's car to a classroom.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07616575807332993,0.07357262820005417
scene_transition_0099,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the village to the bustling city.,From the village to the bustling city.,From a small boat to the royal harbor.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.06271989643573761,0.06994136422872543
scene_transition_0102,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From beauty to the hotel suite.,From beauty to the hotel suite.,From beauty to the hotel suite.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.0752822607755661,0.07383086532354355
scene_transition_0106,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From Frodo's pocket to the study balcony.,From Frodo's pocket to the study balcony.,From Frodo's pocket to the study balcony.,Pick the choice that correctly describes how the scenes in the video change.,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06313937902450562,0.06066974252462387
scene_transition_0107,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the cabin to the boiler room.,From the cabin to the boiler room.,From the cabin to the boiler room.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06629586964845657,0.06673011928796768
scene_transition_0109,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the living room to the balcony.,From the living room to the balcony.,From Eve's room to the front of the amusement park.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07347532361745834,0.0710110068321228
scene_transition_0111,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From dreams to the hotel lobby.1.,From dreams to the hotel lobby.1.,From dreams to the hotel lobby.1.,Which choice matches the scene changes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07927216589450836,0.07817502319812775
scene_transition_0115,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From a garden to the interior of the house.,From a garden to the interior of the house.,From a building to the interior of the building.,Which choice matches the scene changes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06141682714223862,0.06348395347595215
scene_transition_0117,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From Sengel to Rohan.,From Sengel to Rohan.,From Sengel to Rohan.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.0648515447974205,0.06337606906890869
scene_transition_0119,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the subway station to the bus stop.,From the subway station to the bus stop.,From the elevator to the robot channel.,What's the right option for how the scenes in the video change?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07362770289182663,0.07428588718175888
scene_transition_0124,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the kitchen to the living room.,From the kitchen to the living room.,From the wall to the elevator.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06389249861240387,0.06656165421009064
scene_transition_0132,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From prison to the bus.,From prison to the bus.,From prison to the bus.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.09192346036434174,0.09432467818260193
scene_transition_0133,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the road to the van.,From the road to the van.,From the road to the van.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.05791950970888138,0.05851681903004646
scene_transition_0139,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the room to the hospital corridor.,From the room to the hospital corridor.,From the room to the hospital corridor.,Pick the choice that correctly describes how the scenes in the video change.,"[459, 478, 496, 515, 534, 553, 571, 590]",0.0618399977684021,0.06449469178915024
scene_transition_0149,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the office to the park.,From the office to the park.,From the wall to the residential area.,Which choice matches the scene changes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07080938667058945,0.0703275203704834
scene_transition_0151,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the stairs to the sunshine.,From the stairs to the sunshine.,From the stairs to the sunshine.,Which choice tells us the correct order of scenes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06914843618869781,0.07137865573167801
scene_transition_0157,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the ward to the kitchen.,From the ward to the kitchen.,From the ward to the kitchen.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.0762544795870781,0.07609055191278458
scene_transition_0164,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From outside Liang's apartment to outside a taxi.,From outside Liang's apartment to outside a taxi.,From outside Liang's apartment to outside a taxi.,Which choice matches the scene changes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.084744393825531,0.08628194779157639
scene_transition_0166,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From ZuBao to NiuFu.,From ZuBao to NiuFu.,From ZuBao to NiuFu.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.0813252329826355,0.09333499521017075
scene_transition_0174,scene_transition,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,From the decoration shop to the secretary's office.,From the decoration shop to the secretary's office.,From the decoration shop to the secretary's office.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06820327043533325,0.07148739695549011
scene_transition_0176,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the train station to the hotel.,From the train station to the hotel.,From the elevator to my own yard.,Can you choose the option that matches how the scenes change in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.07598850876092911,0.07096176594495773
scene_transition_0178,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the city streets to the tranquil countryside.,From the city streets to the tranquil countryside.,From the TV screen to the beach pier.,Which choice matches the scene changes in the video?,"[459, 478, 496, 515, 534, 553, 571, 590]",0.06403613835573196,0.06163286045193672
scene_transition_0180,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the classroom to the university library.,From the classroom to the university library.,From the House room to the Security Department Building.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.0648479238152504,0.06350916624069214
scene_transition_0190,scene_transition,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,From the park to the subway station.,From the park to the subway station.,From the lawn to the bus platform.,Pick the choice that correctly describes how the scenes in the video change.,"[459, 478, 496, 515, 534, 553, 571, 590]",0.08119680732488632,0.08250460028648376
scene_transition_0198,scene_transition,exact_recent,full,pca_r256_s4,worse,1,1,0,From Molly's cabin to the mirror in front.,From the living room to the kitchen.,From Molly's cabin to the mirror in front.,"Based on the video, which choice shows the scene changes accurately?","[459, 478, 496, 515, 534, 553, 571, 590]",0.07125338166952133,0.0715842992067337
state_change_0004,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The water seems hot.,The water seems hot.,The water seems hot.,What can you say about the temperature of the water being poured?,"[804, 837, 870, 903, 936, 968, 1001, 1034]",0.07421928644180298,0.07367002218961716
state_change_0009,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[736, 766, 796, 826, 856, 886, 916, 946]",0.07170726358890533,0.07183515280485153
state_change_0018,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[290, 302, 313, 325, 337, 349, 361, 373]",0.06942296028137207,0.06885910779237747
state_change_0020,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[512, 533, 554, 574, 595, 616, 637, 658]",0.0663309097290039,0.06655570864677429
state_change_0022,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[298, 310, 322, 335, 347, 359, 371, 383]",0.06685948371887207,0.06722036004066467
state_change_0023,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work because the person unplugged the device during the video.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[729, 759, 789, 818, 848, 878, 908, 938]",0.07069534063339233,0.07181958109140396
state_change_0028,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[625, 651, 676, 702, 727, 753, 778, 804]",0.06058848276734352,0.060490548610687256
state_change_0030,state_change,exact_recent,full,pca_r256_s4,better,1,0,1,no,yes,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[538, 560, 582, 604, 626, 648, 670, 692]",0.07681845873594284,0.07628938555717468
state_change_0031,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[505, 525, 546, 567, 587, 608, 629, 649]",0.07537849247455597,0.07588490843772888
state_change_0034,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,No water was poured.,No water was poured.,The water seems cold.,What can you say about the temperature of the water being poured?,"[741, 772, 802, 832, 863, 893, 923, 953]",0.06479637324810028,0.0655164122581482
state_change_0035,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The water seems hot.,The water seems hot.,The water seems cold.,What can you say about the temperature of the water being poured?,"[803, 835, 868, 901, 934, 967, 999, 1032]",0.07309431582689285,0.07241032272577286
state_change_0044,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,No,No,No,Is the bag empty at the end?,"[238, 248, 258, 268, 277, 287, 297, 307]",0.06051483377814293,0.06066225469112396
state_change_0047,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,No,No,Yes,Is the bag empty at the end?,"[578, 601, 625, 648, 672, 696, 719, 743]",0.07374383509159088,0.07521935552358627
state_change_0050,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[372, 388, 403, 418, 433, 448, 464, 479]",0.07597216963768005,0.07328133285045624
state_change_0055,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,No,No,Yes,Is the bag empty at the end?,"[545, 567, 589, 611, 634, 656, 678, 700]",0.06971530616283417,0.06839076429605484
state_change_0057,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[798, 831, 863, 896, 928, 961, 994, 1026]",0.06804348528385162,0.06809733062982559
state_change_0058,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The water seems hot.,The water seems hot.,The water seems hot.,What can you say about the temperature of the water being poured?,"[803, 835, 868, 901, 934, 967, 999, 1032]",0.0665367841720581,0.06589613854885101
state_change_0061,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[803, 835, 868, 901, 934, 967, 999, 1032]",0.06479045003652573,0.06333141028881073
state_change_0062,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,No,No,Yes,Is the bag empty at the end?,"[590, 614, 638, 662, 686, 710, 734, 758]",0.07000431418418884,0.0696336179971695
state_change_0076,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[752, 783, 814, 844, 875, 906, 936, 967]",0.08263290673494339,0.0827454999089241
state_change_0077,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work because the person unplugged the device during the video.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[258, 268, 279, 289, 300, 310, 321, 331]",0.07186995446681976,0.0692729502916336
state_change_0085,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[600, 624, 649, 673, 698, 722, 747, 771]",0.06857264041900635,0.0684627890586853
state_change_0093,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The water seems hot.,The water seems hot.,The water seems hot.,What can you say about the temperature of the water being poured?,"[803, 835, 868, 901, 934, 967, 999, 1032]",0.08118387311697006,0.08105120062828064
state_change_0095,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[453, 471, 490, 508, 527, 545, 564, 582]",0.08094263821840286,0.08130064606666565
state_change_0110,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,No,No,No,Is the bag empty at the end?,"[298, 310, 322, 335, 347, 359, 371, 383]",0.07607326656579971,0.07420586794614792
state_change_0115,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[637, 663, 689, 715, 741, 767, 793, 819]",0.07045724987983704,0.07041578739881516
state_change_0133,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[225, 234, 243, 252, 261, 271, 280, 289]",0.06799287348985672,0.06718778610229492
state_change_0136,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[591, 615, 639, 663, 687, 711, 735, 759]",0.0684814602136612,0.06881076097488403
state_change_0143,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[704, 733, 761, 790, 819, 848, 876, 905]",0.0643509030342102,0.06385774910449982
state_change_0144,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[558, 580, 603, 626, 649, 672, 694, 717]",0.06732860952615738,0.06882458925247192
state_change_0149,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[256, 266, 277, 287, 298, 308, 319, 329]",0.07142078131437302,0.07113172858953476
state_change_0154,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[542, 564, 586, 608, 630, 652, 674, 696]",0.06497560441493988,0.061870284378528595
state_change_0157,state_change,exact_recent,full,pca_r256_s4,worse,1,1,0,yes,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[649, 675, 702, 728, 755, 781, 808, 834]",0.06960729509592056,0.06808168441057205
state_change_0160,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,No water was poured.,No water was poured.,The water seems cold.,What can you say about the temperature of the water being poured?,"[803, 835, 868, 901, 934, 967, 999, 1032]",0.07125668972730637,0.07071475684642792
state_change_0166,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,The person interacts with a lighting device among other objects. Is the lighting device on at any point?,"[469, 488, 507, 526, 545, 565, 584, 603]",0.06671884655952454,0.06527136266231537
state_change_0175,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,No,No,No,Is the bag empty at the end?,"[464, 483, 502, 521, 540, 559, 578, 597]",0.07223863899707794,0.0721212700009346
state_change_0176,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The water seems hot.,The water seems hot.,The water seems hot.,What can you say about the temperature of the water being poured?,"[768, 800, 831, 862, 894, 925, 956, 988]",0.07851817458868027,0.07827767729759216
state_change_0188,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[280, 291, 303, 314, 325, 337, 348, 360]",0.07943985611200333,0.07939958572387695
state_change_0190,state_change,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The device worked when the person tried to turn it on.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[521, 542, 563, 585, 606, 627, 649, 670]",0.06606852263212204,0.06701657921075821
state_change_0196,state_change,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,The electric device did not work most likely because it was already unplugged at the beginning of the video.,"If the person tried to turn on the electric device and it was not working, what was the reason for that?","[435, 453, 471, 488, 506, 524, 542, 560]",0.06807355582714081,0.06847270578145981
action_sequence_0000,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Ate the medicine.,What happened after the person took the food?,"[249, 261, 273, 285, 322, 358, 370, 382]",0.072868712246418,0.07318845391273499
action_sequence_0010,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Put down the laptop.,Put down the laptop.,Put down the laptop.,What happened before the person sat on the sofa/couch?,"[298, 326, 339, 381, 395, 409, 423, 437]",0.06914272904396057,0.07064051926136017
action_sequence_0016,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Tidied up the table.,Tidied up the table.,Tidied up the table.,What happened after the person took the dish?,"[70, 74, 79, 83, 87, 126, 130, 134]",0.08475814014673233,0.0826353058218956
action_sequence_0021,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Threw the clothes.,What happened before the person took the towel?,"[185, 192, 208, 216, 224, 232, 240, 248]",0.0692044124007225,0.07050862908363342
action_sequence_0023,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened before the person put down the clothes?,"[274, 302, 316, 358, 400, 414, 428, 442]",0.08608534187078476,0.08551711589097977
action_sequence_0024,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Opened the book.,Opened the book.,Opened the book.,What happened after the person drank from the cup/glass/bottle?,"[212, 231, 250, 259, 268, 278, 287, 297]",0.07839446514844894,0.07821612060070038
action_sequence_0027,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Put down the dish.,Put down the dish.,Put down the dish.,What happened before the person opened the closet/cabinet?,"[232, 274, 288, 344, 386, 414, 428, 442]",0.07143797725439072,0.07248085737228394
action_sequence_0030,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Sat on the sofa/couch.,Sat on the sofa/couch.,Sat on the sofa/couch.,What happened before the person took the blanket?,"[293, 327, 344, 394, 444, 495, 511, 528]",0.07096659392118454,0.0728735476732254
action_sequence_0036,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Washed the clothes.,Washed the clothes.,Washed the clothes.,What happened after the person held the sandwich?,"[173, 183, 193, 203, 252, 292, 302, 312]",0.07559305429458618,0.07563476264476776
action_sequence_0041,action_sequence,learned_recent_query_topk,full,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the refrigerator?,"[452, 470, 489, 507, 526, 544, 563, 581]",0.06409599632024765,0.06511522084474564
